PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Tewari, VP; Verma, RK; von Gadow, K				Tewari, Vindhya Prasad; Verma, Raj Kumar; von Gadow, Klaus			Climate change effects in the Western Himalayan ecosystems of India: evidence and strategies	FOREST ECOSYSTEMS				Review								Background: The fragile landscapes of the Himalayan region are highly susceptible to natural hazards, and there is ongoing concern about current and potential climate change impacts. This study provides background information on India's Western Himalayas and reviews evidence of warming as well as variability in precipitation and extreme events. Methods: Understanding and anticipating the impacts of climate change on Himalayan forest ecosystems and the services they provide to people are critical. Efforts to develop and implement effective policies and management strategies for climate change mitigation and adaptation requires particular new research initiatives. The various studies initiated and conducted in the region are compiled here. Results: Several new initiatives taken by the Himalayan Forest Research Institute in Shimla are described. This includes new permanent observational field studies, some with mapped trees, in high altitude transitional zones for continuous monitoring of vegetation response. We have also presented new strategies for mitigating potential climate change effects in Himalayan forest ecosystems. Conclusions: Assessment of the ecological and genetic diversity of the Himalayan conifers is required to evaluate potential responses to changing climatic conditions. Conservation strategies for the important temperate medicinal plants need to be developed. The impact of climate change on insects and pathogens in the Himalayas also need to be assessed. Coordinated efforts are necessary to develop effective strategies for adaptation and mitigation.	[Tewari, Vindhya Prasad; Verma, Raj Kumar] Himalayan Forest Res Inst, Shimla, HP, India; [von Gadow, Klaus] Georg August Univ, Gottingen, Germany; [von Gadow, Klaus] Univ Stellenbosch, Dept Forestry & Wood Sci, Stellenbosch, South Africa		Tewari, VP (corresponding author), Himalayan Forest Res Inst, Shimla, HP, India.	vptewari@yahoo.com								50	52											AUG 10	2017	4								13	10.1186/s40663-017-0100-4	http://dx.doi.org/10.1186/s40663-017-0100-4				Forestry								2023-09-28	WOS:000407195900001
J	McNeely, JA				McNeely, Jeffrey A.			Nature and COVID-19: The pandemic, the environment, and the way ahead	AMBIO				Article								The COVID-19 pandemic has brought profound social, political, economic, and environmental challenges to the world. The virus may have emerged from wildlife reservoirs linked to environmental disruption, was transmitted to humans via the wildlife trade, and its spread was facilitated by economic globalization. The pandemic arrived at a time when wildfires, high temperatures, floods, and storms amplified human suffering. These challenges call for a powerful response to COVID-19 that addresses social and economic development, climate change, and biodiversity together, offering an opportunity to bring transformational change to the structure and functioning of the global economy. This biodefense can include a "One Health" approach in all relevant sectors; a greener approach to agriculture that minimizes greenhouse gas emissions and leads to healthier diets; sustainable forms of energy; more effective international environmental agreements; post-COVID development that is equitable and sustainable; and nature-compatible international trade. Restoring and enhancing protected areas as part of devoting 50% of the planet's land to environmentally sound management that conserves biodiversity would also support adaptation to climate change and limit human contact with zoonotic pathogens. The essential links between human health and well-being, biodiversity, and climate change could inspire a new generation of innovators to provide green solutions to enable humans to live in a healthy balance with nature leading to a long-term resilient future.	[McNeely, Jeffrey A.] 1445-29 Petchkasem Rd, Saitai Cha Am 76120, Petchburi, Thailand		McNeely, JA (corresponding author), 1445-29 Petchkasem Rd, Saitai Cha Am 76120, Petchburi, Thailand.	jeffmcneely2@gmail.com								51	52											APR	2021	50	4			SI		767	781		10.1007/s13280-020-01447-0	http://dx.doi.org/10.1007/s13280-020-01447-0		JAN 2021		Engineering, Environmental; Environmental Sciences				33454883				2023-09-28	WOS:000608089800003
J	David, JF; Handa, IT				David, Jean-Francois; Handa, Ira Tanya			The ecology of saprophagous macroarthropods (millipedes, woodlice) in the context of global change	BIOLOGICAL REVIEWS				Review								Millipedes (Diplopoda) and woodlice (Crustacea, Isopoda), with a total of about 15000 described species worldwide, contribute substantially to invertebrate biodiversity. These saprophagous macroarthropods, which are key regulators of plant litter decomposition, play an important role in the functioning of terrestrial ecosystems in tropical and temperate areas. Herein we review current knowledge on the effects of climate, food quality and land cover on millipede and woodlouse species to explore their potential responses to global change. Essentially similar trends are observed in the two taxa. Experiments have shown that climate warming could result in higher rates of population growth and have positive effects on the abundance of some temperate species. This is consistent with signs of northward expansion in Europe, although the mechanisms of dispersal remain unclear. The generality of this finding is evaluated in relation to the life histories and geographical distributions of species. At low latitudes, interactions with more severe droughts are likely and could affect community composition. Elevated atmospheric CO2 levels and changes in plant community composition are expected to alter leaf litter quality, a major determinant of macroarthropod fertility via the link with female adult body size. Although food quality changes have been shown to influence population growth rates significantly, it is proposed that the effects of warming will be probably more important during the coming decades. Land cover changes, mainly due to deforestation in the tropics and land abandonment in Europe, are critical to habitat specialists and could override any other effect of global change. Habitat destruction by man may be the main threat to macroarthropod species, many of which are narrow endemics. At the landscape scale, habitat heterogeneity could be a good option for conservation, even at the cost of some fragmentation. Two principal areas are identified which require further work: (i) the effects of climate change across broader geographic ranges, and on species with different ecologies and life histories; (ii) the effects of global change on both macroarthropods and their natural enemies (predators, parasites and pathogens), to improve predictions in field situations.	[David, Jean-Francois; Handa, Ira Tanya] CNRS, Ctr Ecol Fonct & Evolut, F-34293 Montpellier 5, France		David, JF (corresponding author), CNRS, Ctr Ecol Fonct & Evolut, 1919 Route Mende, F-34293 Montpellier 5, France.	jean-francois.david@cefe.cnrs.fr								107	120											NOV	2010	85	4					881	895		10.1111/j.1469-185X.2010.00138.x	http://dx.doi.org/10.1111/j.1469-185X.2010.00138.x				Biology				20412191				2023-09-28	WOS:000282880900011
J	Hollidge, BS; Weiss, SR; Soldan, SS				Hollidge, Bradley S.; Weiss, Susan R.; Soldan, Samantha S.			The Role of Interferon Antagonist, Non-Structural Proteins in the Pathogenesis and Emergence of Arboviruses	VIRUSES-BASEL				Review								A myriad of factors favor the emergence and re-emergence of arthropod-borne viruses (arboviruses), including migration, climate change, intensified livestock production, an increasing volume of international trade and transportation, and changes to ecosystems (e. g., deforestation and loss of biodiversity). Consequently, arboviruses are distributed worldwide and represent over 30% of all emerging infectious diseases identified in the past decade. Although some arboviral infections go undetected or are associated with mild, flu-like symptoms, many are important human and veterinary pathogens causing serious illnesses such as arthritis, gastroenteritis, encephalitis and hemorrhagic fever and devastating economic loss as a consequence of lost productivity and high mortality rates among livestock. One of the most consistent molecular features of emerging arboviruses, in addition to their near exclusive use of RNA genomes, is the inclusion of viral, non-structural proteins that act as interferon antagonists. In this review, we describe these interferon antagonists and common strategies that arboviruses use to counter the host innate immune response. In addition, we discuss the complex interplay between host factors and viral determinants that are associated with virus emergence and re-emergence, and identify potential targets for vaccine and anti-viral therapies.	[Hollidge, Bradley S.; Soldan, Samantha S.] Univ Penn, Sch Med, Dept Neurol, Philadelphia, PA 19104 USA; [Hollidge, Bradley S.] Univ Penn, Sch Med, Neurosci Grad Grp, Philadelphia, PA 19104 USA; [Weiss, Susan R.] Univ Penn, Sch Med, Dept Microbiol, Philadelphia, PA 19104 USA		Soldan, SS (corresponding author), Univ Penn, Sch Med, Dept Neurol, Philadelphia, PA 19104 USA.	hollidge@mail.med.upenn.edu; weisssr@mail.med.upenn.edu; sssoldan@mail.med.upenn.edu								31	31											JUN	2011	3	6					629	658		10.3390/v3060629	http://dx.doi.org/10.3390/v3060629				Virology				21994750				2023-09-28	WOS:000292027700002
J	Toi, CS; Webb, CE; Haniotis, J; Clancy, J; Doggett, SL				Toi, Cheryl S.; Webb, Cameron E.; Haniotis, John; Clancy, John; Doggett, Stephen L.			Seasonal activity, vector relationships and genetic analysis of mosquito-borne Stratford virus	PLOS ONE				Article								There are many gaps to be filled in our understanding of mosquito-borne viruses, their relationships with vectors and reservoir hosts, and the environmental drivers of seasonal activity. Stratford virus (STRV) belongs to the genus Flavivirus and has been isolated from mosquitoes and infected humans in Australia but little is known of its vector and reservoir host associations. A total of 43 isolates of STRV from mosquitoes collected in New South Wales between 1995 and 2013 was examined to determine the genetic diversity between virus isolates and their relationship with mosquito species. The virus was isolated from six mosquito species; Aedes aculeatus, Aedes alternans, Aedes notoscriptus, Aedes procax, Aedes vigilax, and Anopheles annulipes. While there were distinct differences in temporal and spatial activity of STRV, with peaks of activity in 2006, 2010 and 2013, a sequence homology of 95.9%-98.4% was found between isolates and the 1961 STRV prototype with 96.2%-100% identified among isolates. Temporal differences but no apparent nucleotide divergence by mosquito species or geographic location was evident. The result suggests the virus is geographically widespread in NSW (albeit only from coastal regions) and increased local STRV activity is likely to be driven by reservoir host factors and local environmental conditions influencing vector abundance. While STRV may not currently be associated with major outbreaks of human disease, with the potential for urbanisation and climate change to increase mosquito-borne disease risks, and the possibility of genomic changes which could produce pathogenic strains, understanding the drivers of STRV activity may assist the development of strategic response to public health risks posed by zoonotic flaviviruses in Australia.	[Toi, Cheryl S.; Webb, Cameron E.; Haniotis, John; Clancy, John; Doggett, Stephen L.] Westmead Hosp, NSW Hlth Pathol, Ctr Infect Dis & Microbiol Lab Serv, Dept Med Entomol, Westmead, NSW, Australia; [Webb, Cameron E.] Univ Sydney, Marie Bashir Inst Infect Dis & Biosecur, Sydney, NSW 2006, Australia		Toi, CS (corresponding author), Westmead Hosp, NSW Hlth Pathol, Ctr Infect Dis & Microbiol Lab Serv, Dept Med Entomol, Westmead, NSW, Australia.	cheryl.toi@health.nsw.gov.au								8	9											MAR 2	2017	12	3							e0173105	10.1371/journal.pone.0173105	http://dx.doi.org/10.1371/journal.pone.0173105				Multidisciplinary Sciences				28253306				2023-09-28	WOS:000396011300078
J	Hoberg, EP; Kutz, SJ; Nagy, J; Jenkins, E; Elkin, B; Branigan, M; Cooley, D				Hoberg, EP; Kutz, SJ; Nagy, J; Jenkins, E; Elkin, B; Branigan, M; Cooley, D			Protostrongylus stilesi (Nematoda : Protostrongylidae): Ecological isolation and putative host-switching between Dall's sheep and muskoxen in a contact zone	COMPARATIVE PARASITOLOGY				Article								The occurrence of Protostrongylus stilesi in a population of introduced muskoxen, Ovibos moschatus wardi, on the Arctic Coastal Plain, Yukon Territory (YT) and Northwest Territories (NT), Canada, is consistent with a contemporary colonization event from Dall's sheep, Ovis dalli dalli, which indicates that host specificity may be ecologically based and contextual for this parasite. Colonization of muskoxen by P. stilesi may be a predictable event in zones of sympatry with Dall's sheep; exposure to infection may coincide with occupation of winter ranges of Dull's sheep by muskoxen during the summer season. Disruption of contemporary ecological isolating barriers can result from anthropogenically or climatologically driven habitat perturbation, and result from management practices that influence the distribution of ungulate hosts. Thus, if zones of contact become more extensive or the temporal limits on allopatry are relaxed, we may observe increasing instances of host switching by parasites or pathogens at the interface of newly emerging ecotones. Impacts to northern systems linked to climatologically and anthropogenically driven global change and the effects of management must be tracked within the context of biodiversity survey and inventory and archival collections, as foundations for monitoring ecosystem-level perturbations. A developing interface for muskoxen, wild sheep, and parasites along the Mackenzie River ecotone represents a natural model or Field laboratory to examine these processes. Additonally, lungworms, Protostrongylus spp., had not been reported in muskoxen, and a new geographic record for this nematode was established in Dall's sheep from the northern Richardson Mountains, NT.	ARS, Biosyst Unit Parasite Biol, Epidemil & Systemat Lab, USDA, Beltsville, MD 20705 USA; Univ Saskatchewan, Western Coll Vet Med, Dept Vet Microbiol, Saskatoon, SK S7N 5B4, Canada; Govt NW Terr, Dept Resources Wildlife & Econ Dev, Inuvik, NT X0E 0T0, Canada; Govt NW Terr, Dept Resources Wildlife & Econ Dev, Wildlife Hlth Program, Wildlife & Fisheries Div, Yellowknife, NT X1A 3S8, Canada		Hoberg, EP (corresponding author), ARS, Biosyst Unit Parasite Biol, Epidemil & Systemat Lab, USDA, BARC E No 1180, Beltsville, MD 20705 USA.									36	40											JAN	2002	69	1					1	9		10.1654/1525-2647(2002)069[0001:PSNPEI]2.0.CO;2	http://dx.doi.org/10.1654/1525-2647(2002)069[0001:PSNPEI]2.0.CO;2				Parasitology; Zoology								2023-09-28	WOS:000173696300001
J	Ruthsatz, K; Lyra, ML; Lambertini, C; Belasen, AM; Jenkinson, TS; Leite, DD; Becker, CG; Haddad, CFB; James, TY; Zamudio, KR; Toledo, LF; Vences, M				Ruthsatz, Katharina; Lyra, Mariana L.; Lambertini, Carolina; Belasen, Anat M.; Jenkinson, Thomas S.; Leite, Domingos da Silva; Becker, C. Guilherme; Haddad, Celio F. B.; James, Timothy Y.; Zamudio, Kelly R.; Toledo, Luis Felipe; Vences, Miguel			Skin microbiome correlates with bioclimate and Batrachochytrium dendrobatidis infection intensity in Brazil's Atlantic Forest treefrogs	SCIENTIFIC REPORTS				Article								In Brazil's Atlantic Forest (AF) biodiversity conservation is of key importance since the fungal pathogen Batrachochytrium dendrobatidis (Bd) has led to the rapid loss of amphibian populations here and worldwide. The impact of Bd on amphibians is determined by the host's immune system, of which the skin microbiome is a critical component. The richness and diversity of such cutaneous bacterial communities are known to be shaped by abiotic factors which thus may indirectly modulate host susceptibility to Bd. This study aimed to contribute to understanding the environment-host-pathogen interaction determining skin bacterial communities in 819 treefrogs (Anura: Hylidae and Phyllomedusidae) from 71 species sampled across the AF. We investigated whether abiotic factors influence the bacterial community richness and structure on the amphibian skin. We further tested for an association between skin bacterial community structure and Bd co-occurrence. Our data revealed that temperature, precipitation, and elevation consistently correlate with richness and diversity of the skin microbiome and also predict Bd infection status. Surprisingly, our data suggest a weak but significant positive correlation of Bd infection intensity and bacterial richness. We highlight the prospect of future experimental studies on the impact of changing environmental conditions associated with global change on environment-host-pathogen interactions in the AF.	[Ruthsatz, Katharina] Univ Hamburg, Inst Zool, Martin Luther King Pl 3, D-20146 Hamburg, Germany; [Lyra, Mariana L.; Haddad, Celio F. B.] Univ Estadual Paulista UNESP, Inst Biociencias, Lab Herpetol, Depto Biodiversidade, Sao Paulo, Brazil; [Lyra, Mariana L.; Haddad, Celio F. B.] Univ Estadual Paulista UNESP, Ctr Aquicultura CAUNESP, Sao Paulo, Brazil; [Lambertini, Carolina; Toledo, Luis Felipe] Univ Estadual Campinas, Inst Biol, Dept Biol Anim, Lab Hist Nat Anfibios Brasileiros LaHNAB, Campinas, SP, Brazil; [Belasen, Anat M.; Zamudio, Kelly R.] Cornell Univ, Dept Ecol & Evolutionary Biol, Ithaca, NY 14853 USA; [Jenkinson, Thomas S.] Univ Calif Davis, Dept Wildlife Fish & Conservat Biol, Davis, CA 95616 USA; [Leite, Domingos da Silva] Univ Estadual Campinas, Inst Biol, Dept Genet Evolucao Microbiol & Imunol, Lab Antigenos Bacterianos 2, Caixa Postal 6109, BR-13083862 Campinas, SP, Brazil; [Becker, C. Guilherme] Univ Alabama, Dept Biol Sci, Tuscaloosa, AL 35847 USA; [James, Timothy Y.] Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA; [Ruthsatz, Katharina; Vences, Miguel] Tech Univ Carolo Wilhelmina Braunschweig, Inst Zool, Mendelssohnstr 4, D-38106 Braunschweig, Germany		Ruthsatz, K (corresponding author), Univ Hamburg, Inst Zool, Martin Luther King Pl 3, D-20146 Hamburg, Germany.; Ruthsatz, K (corresponding author), Tech Univ Carolo Wilhelmina Braunschweig, Inst Zool, Mendelssohnstr 4, D-38106 Braunschweig, Germany.	katharina.ruthsatz@uni-hamburg.de								9	9											DEC 18	2020	10	1							22311	10.1038/s41598-020-79130-3	http://dx.doi.org/10.1038/s41598-020-79130-3				Multidisciplinary Sciences				33339839				2023-09-28	WOS:000603054400026
J	Huang, KL; Kardol, P; Yan, XB; Luo, X; Guo, H				Huang, Kailing; Kardol, Paul; Yan, Xuebin; Luo, Xi; Guo, Hui			Plant-soil biota interactions explain shifts in plant community composition under global change	FUNCTIONAL ECOLOGY				Article								1. Plant-soil biota interactions play a crucial role in the assembly of plant communities and the maintenance of plant species diversity. However, few studies have tested how the effect of soil biota on plant species and communities depends on environmental context and whether shifts in plant community composition caused by environmental change are associated with variation in plant-soil biota interactions. 2. We combined a field experiment in a Tibetan alpine meadow and a greenhouse experiment with factorial combinations of nitrogen (N) enrichment and warming to examine the role of plant-soil biota interactions in plant community dynamics. 3. The results showed that plant relative abundances were negatively correlated with the net effects of soil biota on plant growth but only under ambient field conditions. Warming and N enrichment alleviated the negative soil biota effects in the greenhouse, and changed plant community composition and reduced species diversity in the field. Importantly, changes in soil biota effects on plant growth were positively correlated with changes in plant relative abundances caused by warming and N enrichment in field. In a parallel field experiment, the diversity of mycorrhizal fungi increased while the diversity of fungal pathogens remained unchanged under warming and N enrichment, indicating that soil biodiversity may play a critical role in plant responses to environmental change. 4. This study empirically demonstrates that altered plant-soil biota interactions explain shifts in plant community composition under global change, providing new insights into the mechanisms of diversity loss in a changing world.	[Huang, Kailing; Yan, Xuebin; Luo, Xi; Guo, Hui] Nanjing Agr Univ, Coll Resources & Environm Sci, Nanjing, Peoples R China; [Kardol, Paul] Swedish Univ Agr Sci, Dept Forest Ecol & Management, Umea, Sweden		Guo, H (corresponding author), Nanjing Agr Univ, Coll Resources & Environm Sci, Nanjing, Peoples R China.	hui.guo@njau.edu.cn								2	2											DEC	2021	35	12					2778	2788		10.1111/1365-2435.13940	http://dx.doi.org/10.1111/1365-2435.13940		OCT 2021		Ecology								2023-09-28	WOS:000709632300001
J	Wilke, ABB; Beier, JC; Benelli, G				Wilke, Andre B. B.; Beier, John C.; Benelli, Giovanni			Complexity of the relationship between global warming and urbanization - an obscure future for predicting increases in vector-borne infectious diseases	CURRENT OPINION IN INSECT SCIENCE				Review								Arthropod vectors are responsible for the transmission of many infectious diseases. Currently, more than three billion people living in endemic areas are exposed to vector-borne pathogens. Substantial differences in the biology of arthropod vectors make it extremely challenging to predict the incidence of vector-borne diseases in the future. However, global warming and urbanization both profoundly affect the ecology and distribution of arthropod vectors. Such processes often result in a biotic homogenization of species in a non-random process of biodiversity loss. The data presently available indicate a trend towards progressive increases in the presence and abundance of vectors capable of thriving in urban environments amongst humans, thus, increasing the contact between vectors and human hosts. As a consequence, we expect the incidence of vector-borne diseases to increase. In our opinion, resources should be made available and directed to strategies within the Integrated Vector Management framework, focusing on proven vector control tools. Besides, a substantial reduction of IVM costs would be achieved by observing environmental guidelines and providing basic sanitary infrastructure at early stages of its development. This could help to increase IVM effectiveness in attenuating social determinants of health and social inequities due to exposure to vectors.	[Wilke, Andre B. B.; Beier, John C.] Univ Miami, Miller Sch Med, Dept Publ Hlth Sci, Miami, FL 33136 USA; [Benelli, Giovanni] Univ Pisa, Dept Agr Food & Environm, Via Borghetto 80, I-56124 Pisa, Italy		Benelli, G (corresponding author), Univ Pisa, Dept Agr Food & Environm, Via Borghetto 80, I-56124 Pisa, Italy.	giovanni.benelli@unipi.it								55	57											OCT	2019	35				SI		1	9		10.1016/j.cois.2019.06.002	http://dx.doi.org/10.1016/j.cois.2019.06.002				Biology; Ecology; Entomology				31279898				2023-09-28	WOS:000490898000003
J	Stronen, AV; Molnar, B; Ciucci, P; Darimont, CT; Grottoli, L; Paquet, PC; Sallows, T; Smits, JEG; Bryan, HM				Stronen, Astrid, V; Molnar, Barbara; Ciucci, Paolo; Darimont, Chris T.; Grottoli, Lorenza; Paquet, Paul C.; Sallows, Tim; Smits, Judit E. G.; Bryan, Heather M.			Cross-continental comparison of parasite communities in a wide-ranging carnivore suggests associations with prey diversity and host density	ECOLOGY AND EVOLUTION				Article								Parasites are integral to ecosystem functioning yet often overlooked. Improved understanding of host-parasite associations is important, particularly for wide-ranging species for which host range shifts and climate change could alter host-parasite interactions and their effects on ecosystem function. Among the most widely distributed mammals with diverse diets, gray wolves (Canis lupus) host parasites that are transmitted among canids and via prey species. Wolf-parasite associations may therefore influence the population dynamics and ecological functions of both wolves and their prey. Our goal was to identify large-scale processes that shape host-parasite interactions across populations, with the wolf as a model organism. By compiling data from various studies, we examined the fecal prevalence of gastrointestinal parasites in six wolf populations from two continents in relation to wolf density, diet diversity, and other ecological conditions. As expected, we found that the fecal prevalence of parasites transmitted directly to wolves via contact with other canids or their excreta was positively associated with wolf density. Contrary to our expectations, the fecal prevalence of parasites transmitted via prey was negatively associated with prey diversity. We also found that parasite communities reflected landscape characteristics and specific prey items available to wolves. Several parasite taxa identified in this study, including hookworms and coccidian protozoans, can cause morbidity and mortality in canids, especially in pups, or in combination with other stressors. The density-prevalence relationship for parasites with simple life cycles may reflect a regulatory role of gastrointestinal parasites on wolf populations. Our result that fecal prevalence of parasites was lower in wolves with more diverse diets could provide insight into the mechanisms by which biodiversity may regulate disease. A diverse suite of predator-prey interactions could regulate the effects of parasitism on prey populations and mitigate the transmission of infectious agents, including zoonoses, spread via trophic interactions.	[Stronen, Astrid, V] Univ Ljubljana, Biotech Fac, Dept Biol, Vecna Pot 111, Ljubljana 1000, Slovenia; [Stronen, Astrid, V] Insubria Univ, Dept Biotechnol & Life Sci, Varese, Italy; [Stronen, Astrid, V] Aalborg Univ, Dept Chem & Biosci, Aalborg, Denmark; [Molnar, Barbara] Univ Neuchatel, Inst Biol, Neuchatel, Switzerland; [Ciucci, Paolo; Grottoli, Lorenza] Univ Roma La Sapienza, Dept Biol & Biotechnol, Rome, Italy; [Darimont, Chris T.; Paquet, Paul C.; Bryan, Heather M.] Univ Victoria, Dept Geog, Victoria, BC, Canada; [Darimont, Chris T.; Paquet, Paul C.; Bryan, Heather M.] Raincoast Conservat Fdn, Denny Isl, BC, Canada; [Darimont, Chris T.; Bryan, Heather M.] Hakai Inst, Heriot Bay, BC, Canada; [Sallows, Tim] Riding Mt Natl Pk, Wasagaming, MB, Canada; [Smits, Judit E. G.] Univ Calgary, Dept Ecosyst & Publ Hlth, Calgary, AB, Canada		Stronen, AV (corresponding author), Univ Ljubljana, Biotech Fac, Dept Biol, Vecna Pot 111, Ljubljana 1000, Slovenia.; Bryan, HM (corresponding author), Univ Northern British Columbia, Ecosyst Sci & Management, Prince George, BC V2N 4Z9, Canada.	astrid.stronen@gmail.com; heather.bryan@unbc.ca								2	3											AUG	2021	11	15					10338	10352		10.1002/ece3.7837	http://dx.doi.org/10.1002/ece3.7837		JUL 2021		Ecology; Evolutionary Biology				34367579				2023-09-28	WOS:000672901900001
J	Fuentes, MMPB; Pike, DA; Dimatteo, A; Wallace, BP				Fuentes, Mariana M. P. B.; Pike, David A.; Dimatteo, Andrew; Wallace, Bryan P.			Resilience of marine turtle regional management units to climate change	GLOBAL CHANGE BIOLOGY				Article								Enhancing species resilience to changing environmental conditions is often suggested as a climate change adaptation strategy. To effectively achieve this, it is necessary first to understand the factors that determine species resilience, and their relative importance in shaping the ability of species to adjust to the complexities of environmental change. This is an extremely challenging task because it requires comprehensive information on species traits. We explored the resilience of 58 marine turtle regional management units (RMUs) to climate change, encompassing all seven species of marine turtles worldwide. We used expert opinion from the IUCN-SSC Marine Turtle Specialist Group (n=33 respondents) to develop a Resilience Index, which considered qualitative characteristics of each RMU (relative population size, rookery vulnerability, and genetic diversity) and non climate-related threats (fisheries, take, coastal development, and pollution/pathogens). Our expert panel perceived rookery vulnerability (the likelihood of functional rookeries becoming extirpated) and non climate-related threats as having the greatest influence on resilience of RMUs to climate change. We identified the world's 13 least resilient marine turtle RMUs to climate change, which are distributed within all three major ocean basins and include six of the world's seven species of marine turtle. Our study provides the first look at inter- and intra-species variation in resilience to climate change and highlights the need to devise metrics that measure resilience directly. We suggest that this approach can be widely used to help prioritize future actions that increase species resilience to climate change.	[Fuentes, Mariana M. P. B.] James Cook Univ, Ctr Excellence Coral Reef Studies, Australian Res Council, Townsville, Qld 4811, Australia; [Pike, David A.] James Cook Univ, Sch Marine & Trop Biol, Townsville, Qld 4811, Australia; [Pike, David A.] James Cook Univ, Ctr Trop Environm & Sustainabil Sci, Townsville, Qld 4811, Australia; [Dimatteo, Andrew] USN, Facil Engn Command Atlantic, Norfolk, VA USA; [Wallace, Bryan P.] Ocean Soc, Washington, DC 20010 USA; [Wallace, Bryan P.] Duke Univ, Marine Lab, Nicholas Sch Environm, Beaufort, NC 28516 USA		Fuentes, MMPB (corresponding author), James Cook Univ, Ctr Excellence Coral Reef Studies, Australian Res Council, Townsville, Qld 4811, Australia.	mariana.fuentes@jcu.edu.au								54	54											MAY	2013	19	5					1399	1406		10.1111/gcb.12138	http://dx.doi.org/10.1111/gcb.12138				Biodiversity Conservation; Ecology; Environmental Sciences				23505145				2023-09-28	WOS:000317284700006
J	Yan, DQ; Ren, J; Liu, JM; Ding, Y; Niu, JM				Yan, Dongqing; Ren, Jing; Liu, Jiamei; Ding, Yu; Niu, Jianming			De novo assembly, annotation, marker discovery, and genetic diversity of the Stipa breviflora Griseb. (Poaceae) response to grazing	PLOS ONE				Article								Grassland is one of the most widely-distributed ecosystems on Earth and provides a variety of ecosystem services. Grasslands, however, currently suffer from severe degradation induced by human activities, overgrazing pressure and climate change. In the present study, we explored the transcriptome response of Stipa breviflora, a dominant species in the desert steppe, to grazing through transcriptome sequencing, the development of simple sequence repeat (SSR) markers, and analysis of genetic diversity. De novo assembly produced 111,018 unigenes, of which 88,164 (79.41%) unigenes were annotated. A total of 686 unigenes showed significantly different expression under grazing, including 304 and 382 that were upregulated and downregulated, respectively. These differentially expressed genes (DEGs) were significantly enriched in the "alpha-linolenic acid metabolism" and "plant-pathogen interaction" pathways. Based on transcriptome sequencing data, we developed eight SSR molecular markers and investigated the genetic diversity of S. breviflora in grazed and ungrazed sites. We found that a relatively high level of S. breviflora genetic diversity occurred under grazing. The findings of genes that improve resistance to grazing are helpful for the restoration, conservation, and management of desert steppe.	[Yan, Dongqing; Ren, Jing; Liu, Jiamei; Ding, Yu; Niu, Jianming] Inner Mongolia Univ, Sch Ecol & Environm, Hohhot, Peoples R China; [Niu, Jianming] Minist Sci & Technol, Inner Mongolia Key Lab Grassland Ecol, Hohhot, Peoples R China; [Niu, Jianming] Minist Sci & Technol, Candidate State Key Lab, Hohhot, Peoples R China; [Niu, Jianming] Minist Educ, Key Lab Ecol & Resource Use Mongolian Plateau, Hohhot, Peoples R China		Niu, JM (corresponding author), Inner Mongolia Univ, Sch Ecol & Environm, Hohhot, Peoples R China.; Niu, JM (corresponding author), Minist Sci & Technol, Inner Mongolia Key Lab Grassland Ecol, Hohhot, Peoples R China.; Niu, JM (corresponding author), Minist Sci & Technol, Candidate State Key Lab, Hohhot, Peoples R China.; Niu, JM (corresponding author), Minist Educ, Key Lab Ecol & Resource Use Mongolian Plateau, Hohhot, Peoples R China.	jmniu2005@163.com								5	5											DEC 22	2020	15	12							e0244222	10.1371/journal.pone.0244222	http://dx.doi.org/10.1371/journal.pone.0244222				Multidisciplinary Sciences				33351838				2023-09-28	WOS:000603071400050
